
time,gFx,gFy,gFz,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0790,-0.0024,-0.1006,1.0007,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.0950,-0.0024,-0.1006,1.0007,-0.0114,-0.0006,-0.0108,40.82819808,-96.69685547,18.88999939,
0.1430,-0.0201,-0.0837,0.9638,-0.0114,-0.0006,-0.0108,40.82819808,-96.69685547,18.88999939,
0.1630,-0.0201,-0.0837,0.9638,-0.0147,-0.0097,-0.0085,40.82819808,-96.69685547,18.88999939,
0.1820,-0.0201,-0.0837,0.9638,-0.0147,-0.0097,-0.0085,40.82819808,-96.69685547,18.88999939,
0.2110,-0.0014,-0.1001,0.9792,-0.0147,-0.0097,-0.0085,40.82819808,-96.69685547,18.88999939,
0.2280,-0.0014,-0.1001,0.9792,-0.0027,-0.0027,-0.0099,40.82819808,-96.69685547,18.88999939,
0.2490,-0.0014,-0.1001,0.9792,-0.0027,-0.0027,-0.0099,40.82819808,-96.69685547,18.88999939,
0.2780,-0.0053,-0.0970,0.9764,-0.0027,-0.0027,-0.0099,40.82819808,-96.69685547,18.88999939,
0.2960,-0.0053,-0.0970,0.9764,0.0132,-0.0033,-0.0092,40.82819808,-96.69685547,18.88999939,
0.3160,-0.0053,-0.0970,0.9764,0.0132,-0.0033,-0.0092,40.82819808,-96.69685547,18.88999939,
0.3460,-0.0246,-0.0869,1.0096,0.0132,-0.0033,-0.0092,40.82819808,-96.69685547,18.88999939,
0.3640,-0.0246,-0.0869,1.0096,0.0151,-0.0120,-0.0119,40.82819808,-96.69685547,18.88999939,
0.3860,-0.0246,-0.0869,1.0096,0.0151,-0.0120,-0.0119,40.82819808,-96.69685547,18.88999939,
0.4120,-0.0000,-0.0797,1.0160,0.0151,-0.0120,-0.0119,40.82819808,-96.69685547,18.88999939,
0.4310,-0.0000,-0.0797,1.0160,-0.0023,-0.0020,-0.0110,40.82819808,-96.69685547,18.88999939,
0.4520,-0.0000,-0.0797,1.0160,-0.0023,-0.0020,-0.0110,40.82819808,-96.69685547,18.88999939,
0.4810,-0.0099,-0.0770,0.9845,-0.0023,-0.0020,-0.0110,40.82819808,-96.69685547,18.88999939,
0.4990,-0.0099,-0.0770,0.9845,-0.0184,-0.0003,-0.0094,40.82819808,-96.69685547,18.88999939,
0.5220,-0.0099,-0.0770,0.9845,-0.0184,-0.0003,-0.0094,40.82819808,-96.69685547,18.88999939,
0.5470,-0.0059,-0.0765,0.9493,-0.0184,-0.0003,-0.0094,40.82819808,-96.69685547,18.88999939,
0.5650,-0.0059,-0.0765,0.9493,-0.0259,-0.0006,-0.0084,40.82819808,-96.69685547,18.88999939,
0.5880,-0.0059,-0.0765,0.9493,-0.0259,-0.0006,-0.0084,40.82819808,-96.69685547,18.88999939,
0.6150,-0.0008,-0.0861,0.9443,-0.0259,-0.0006,-0.0084,40.82819808,-96.69685547,18.88999939,
0.6330,-0.0008,-0.0861,0.9443,-0.0206,0.0037,-0.0080,40.82819808,-96.69685547,18.88999939,
0.6570,-0.0008,-0.0861,0.9443,-0.0206,0.0037,-0.0080,40.82819808,-96.69685547,18.88999939,
0.6810,-0.0125,-0.0800,0.9588,-0.0206,0.0037,-0.0080,40.82819808,-96.69685547,18.88999939,
0.7010,-0.0125,-0.0800,0.9588,-0.0081,0.0081,-0.0077,40.82819808,-96.69685547,18.88999939,
0.7220,-0.0125,-0.0800,0.9588,-0.0081,0.0081,-0.0077,40.82819808,-96.69685547,18.88999939,
0.7490,-0.0113,-0.0838,0.9658,-0.0081,0.0081,-0.0077,40.82819808,-96.69685547,18.88999939,
0.7680,-0.0113,-0.0838,0.9658,0.0005,0.0004,-0.0099,40.82819808,-96.69685547,18.88999939,
0.7900,-0.0113,-0.0838,0.9658,0.0005,0.0004,-0.0099,40.82819808,-96.69685547,18.88999939,
0.8180,-0.0035,-0.0794,0.9688,0.0005,0.0004,-0.0099,40.82819808,-96.69685547,18.88999939,
0.8370,-0.0035,-0.0794,0.9688,-0.0095,0.0030,-0.0096,40.82819808,-96.69685547,18.88999939,
0.8570,-0.0035,-0.0794,0.9688,-0.0095,0.0030,-0.0096,40.82834220,-96.69672584,19.22999954,
0.8870,-0.0237,-0.0775,0.9923,-0.0095,0.0030,-0.0096,40.82834220,-96.69672584,19.22999954,
0.9040,-0.0237,-0.0775,0.9923,-0.0189,-0.0013,-0.0087,40.82834220,-96.69672584,19.22999954,
0.9230,-0.0237,-0.0775,0.9923,-0.0189,-0.0013,-0.0087,40.82834220,-96.69672584,19.22999954,
0.9570,-0.0027,-0.0852,0.9664,-0.0189,-0.0013,-0.0087,40.82834220,-96.69672584,19.22999954,
0.9730,-0.0027,-0.0852,0.9664,-0.0140,0.0008,-0.0101,40.82834220,-96.69672584,19.22999954,
0.9910,-0.0027,-0.0852,0.9664,-0.0140,0.0008,-0.0101,40.82834220,-96.69672584,19.22999954,
1.0210,-0.0099,-0.0830,0.9867,-0.0140,0.0008,-0.0101,40.82834220,-96.69672584,19.22999954,
1.0390,-0.0099,-0.0830,0.9867,-0.0076,-0.0036,-0.0099,40.82834220,-96.69672584,19.22999954,
1.0590,-0.0099,-0.0830,0.9867,-0.0076,-0.0036,-0.0099,40.82834220,-96.69672584,19.22999954,
1.0870,-0.0179,-0.0790,0.9894,-0.0076,-0.0036,-0.0099,40.82834220,-96.69672584,19.22999954,
1.1070,-0.0179,-0.0790,0.9894,0.0038,-0.0075,-0.0105,40.82834220,-96.69672584,19.22999954,
1.1260,-0.0179,-0.0790,0.9894,0.0038,-0.0075,-0.0105,40.82834220,-96.69672584,19.22999954,
1.1550,-0.0056,-0.0848,1.0014,0.0038,-0.0075,-0.0105,40.82834220,-96.69672584,19.22999954,
1.1720,-0.0056,-0.0848,1.0014,-0.0011,-0.0033,-0.0115,40.82834220,-96.69672584,19.22999954,
1.1930,-0.0056,-0.0848,1.0014,-0.0011,-0.0033,-0.0115,40.82834220,-96.69672584,19.22999954,
1.2220,-0.0053,-0.0991,1.0223,-0.0011,-0.0033,-0.0115,40.82834220,-96.69672584,19.22999954,
1.2400,-0.0053,-0.0991,1.0223,0.0082,-0.0059,-0.0108,40.82834220,-96.69672584,19.22999954,
1.2600,-0.0053,-0.0991,1.0223,0.0082,-0.0059,-0.0108,40.82834220,-96.69672584,19.22999954,
1.2900,-0.0140,-0.0774,1.0053,0.0082,-0.0059,-0.0108,40.82834220,-96.69672584,19.22999954,
1.3070,-0.0140,-0.0774,1.0053,0.0109,-0.0031,-0.0099,40.82834220,-96.69672584,19.22999954,
1.3270,-0.0140,-0.0774,1.0053,0.0109,-0.0031,-0.0099,40.82834220,-96.69672584,19.22999954,
1.3550,-0.0032,-0.0995,1.0280,0.0109,-0.0031,-0.0099,40.82834220,-96.69672584,19.22999954,
1.3720,-0.0032,-0.0995,1.0280,0.0013,-0.0064,-0.0115,40.82834220,-96.69672584,19.22999954,
1.3950,-0.0032,-0.0995,1.0280,0.0013,-0.0064,-0.0115,40.82834220,-96.69672584,19.22999954,
1.4220,-0.0058,-0.1131,0.9585,0.0013,-0.0064,-0.0115,40.82834220,-96.69672584,19.22999954,
1.4410,-0.0058,-0.1131,0.9585,-0.0266,0.0006,-0.0087,40.82834220,-96.69672584,19.22999954,
1.4630,-0.0058,-0.1131,0.9585,-0.0266,0.0006,-0.0087,40.82834220,-96.69672584,19.22999954,
1.4910,-0.0107,-0.1214,0.9486,-0.0266,0.0006,-0.0087,40.82834220,-96.69672584,19.22999954,
1.5090,-0.0107,-0.1214,0.9486,-0.0473,0.0070,-0.0078,40.82834220,-96.69672584,19.22999954,
1.5280,-0.0107,-0.1214,0.9486,-0.0473,0.0070,-0.0078,40.82834220,-96.69672584,19.22999954,
1.5570,-0.0071,-0.1351,0.8981,-0.0473,0.0070,-0.0078,40.82834220,-96.69672584,19.22999954,
1.5750,-0.0071,-0.1351,0.8981,-0.0377,0.0018,-0.0071,40.82834220,-96.69672584,19.22999954,
1.5950,-0.0071,-0.1351,0.8981,-0.0377,0.0018,-0.0071,40.82834220,-96.69672584,19.22999954,
1.6220,-0.0135,-0.1460,0.9038,-0.0377,0.0018,-0.0071,40.82834220,-96.69672584,19.22999954,
1.6430,-0.0135,-0.1460,0.9038,-0.0172,0.0046,-0.0056,40.82834220,-96.69672584,19.22999954,
1.6640,-0.0135,-0.1460,0.9038,-0.0172,0.0046,-0.0056,40.82834220,-96.69672584,19.22999954,
1.6920,-0.0190,-0.1645,0.9668,-0.0172,0.0046,-0.0056,40.82834220,-96.69672584,19.22999954,
1.7110,-0.0190,-0.1645,0.9668,-0.0023,0.0002,-0.0094,40.82834220,-96.69672584,19.22999954,
1.7300,-0.0190,-0.1645,0.9668,-0.0023,0.0002,-0.0094,40.82834220,-96.69672584,19.22999954,
1.7610,-0.0101,-0.1901,1.0024,-0.0023,0.0002,-0.0094,40.82834220,-96.69672584,19.22999954,
1.7790,-0.0101,-0.1901,1.0024,0.0174,-0.0006,-0.0101,40.82834220,-96.69672584,19.22999954,
1.7950,-0.0101,-0.1901,1.0024,0.0174,-0.0006,-0.0101,40.82834220,-96.69672584,19.22999954,
1.8240,-0.0221,-0.1929,1.0489,0.0174,-0.0006,-0.0101,40.82834220,-96.69672584,19.22999954,
1.8450,-0.0221,-0.1929,1.0489,0.0221,-0.0087,-0.0138,40.82846481,-96.69663915,17.71999931,
1.8650,-0.0221,-0.1929,1.0489,0.0221,-0.0087,-0.0138,40.82846481,-96.69663915,17.71999931,
1.8920,0.0043,-0.1874,1.0492,0.0221,-0.0087,-0.0138,40.82846481,-96.69663915,17.71999931,
1.9110,0.0043,-0.1874,1.0492,0.0024,-0.0205,-0.0218,40.82846481,-96.69663915,17.71999931,
1.9320,0.0043,-0.1874,1.0492,0.0024,-0.0205,-0.0218,40.82846481,-96.69663915,17.71999931,
1.9600,0.0252,-0.1816,0.9948,0.0024,-0.0205,-0.0218,40.82846481,-96.69663915,17.71999931,
1.9800,0.0252,-0.1816,0.9948,-0.0238,-0.0143,-0.0297,40.82846481,-96.69663915,17.71999931,
1.9960,0.0252,-0.1816,0.9948,-0.0238,-0.0143,-0.0297,40.82846481,-96.69663915,17.71999931,
2.0270,0.0306,-0.1829,0.9573,-0.0238,-0.0143,-0.0297,40.82846481,-96.69663915,17.71999931,
2.0460,0.0306,-0.1829,0.9573,-0.0304,-0.0190,-0.0358,40.82846481,-96.69663915,17.71999931,
2.0670,0.0306,-0.1829,0.9573,-0.0304,-0.0190,-0.0358,40.82846481,-96.69663915,17.71999931,
2.0930,0.0463,-0.1946,0.9004,-0.0304,-0.0190,-0.0358,40.82846481,-96.69663915,17.71999931,
2.1130,0.0463,-0.1946,0.9004,-0.0205,-0.0075,-0.0382,40.82846481,-96.69663915,17.71999931,
2.1350,0.0463,-0.1946,0.9004,-0.0205,-0.0075,-0.0382,40.82846481,-96.69663915,17.71999931,
2.1620,0.0520,-0.1852,0.9206,-0.0205,-0.0075,-0.0382,40.82846481,-96.69663915,17.71999931,
2.1810,0.0520,-0.1852,0.9206,-0.0065,-0.0040,-0.0366,40.82846481,-96.69663915,17.71999931,
2.2030,0.0520,-0.1852,0.9206,-0.0065,-0.0040,-0.0366,40.82846481,-96.69663915,17.71999931,
2.2270,0.0471,-0.1847,0.9371,-0.0065,-0.0040,-0.0366,40.82846481,-96.69663915,17.71999931,
2.2460,0.0471,-0.1847,0.9371,0.0059,0.0048,-0.0354,40.82846481,-96.69663915,17.71999931,
2.2700,0.0471,-0.1847,0.9371,0.0059,0.0048,-0.0354,40.82846481,-96.69663915,17.71999931,
2.2940,0.0526,-0.2107,0.9751,0.0059,0.0048,-0.0354,40.82846481,-96.69663915,17.71999931,
2.3160,0.0526,-0.2107,0.9751,0.0073,-0.0038,-0.0394,40.82846481,-96.69663915,17.71999931,
2.3360,0.0526,-0.2107,0.9751,0.0073,-0.0038,-0.0394,40.82846481,-96.69663915,17.71999931,
2.3620,0.0641,-0.2032,0.9926,0.0073,-0.0038,-0.0394,40.82846481,-96.69663915,17.71999931,
2.3800,0.0641,-0.2032,0.9926,-0.0000,-0.0071,-0.0461,40.82846481,-96.69663915,17.71999931,
2.4030,0.0641,-0.2032,0.9926,-0.0000,-0.0071,-0.0461,40.82846481,-96.69663915,17.71999931,
2.4310,0.0677,-0.1893,0.9732,-0.0000,-0.0071,-0.0461,40.82846481,-96.69663915,17.71999931,
2.4530,0.0677,-0.1893,0.9732,-0.0058,-0.0027,-0.0487,40.82846481,-96.69663915,17.71999931,
2.4730,0.0677,-0.1893,0.9732,-0.0058,-0.0027,-0.0487,40.82846481,-96.69663915,17.71999931,
2.4990,0.0849,-0.2071,0.9823,-0.0058,-0.0027,-0.0487,40.82846481,-96.69663915,17.71999931,
2.5180,0.0849,-0.2071,0.9823,-0.0184,-0.0020,-0.0560,40.82846481,-96.69663915,17.71999931,
2.5380,0.0849,-0.2071,0.9823,-0.0184,-0.0020,-0.0560,40.82846481,-96.69663915,17.71999931,
2.5660,0.0915,-0.2091,0.9680,-0.0184,-0.0020,-0.0560,40.82846481,-96.69663915,17.71999931,
2.5850,0.0915,-0.2091,0.9680,-0.0196,-0.0001,-0.0565,40.82846481,-96.69663915,17.71999931,
2.6040,0.0915,-0.2091,0.9680,-0.0196,-0.0001,-0.0565,40.82846481,-96.69663915,17.71999931,
2.6320,0.0827,-0.1990,0.9492,-0.0196,-0.0001,-0.0565,40.82846481,-96.69663915,17.71999931,
2.6520,0.0827,-0.1990,0.9492,-0.0067,0.0055,-0.0564,40.82846481,-96.69663915,17.71999931,
2.6710,0.0827,-0.1990,0.9492,-0.0067,0.0055,-0.0564,40.82846481,-96.69663915,17.71999931,
2.6970,0.0983,-0.1928,0.9635,-0.0067,0.0055,-0.0564,40.82846481,-96.69663915,17.71999931,
2.7200,0.0983,-0.1928,0.9635,0.0075,0.0102,-0.0578,40.82846481,-96.69663915,17.71999931,
2.7380,0.0983,-0.1928,0.9635,0.0075,0.0102,-0.0578,40.82846481,-96.69663915,17.71999931,
2.7710,0.0952,-0.1887,0.9582,0.0075,0.0102,-0.0578,40.82846481,-96.69663915,17.71999931,
2.7840,0.0952,-0.1887,0.9582,0.0045,0.0083,-0.0544,40.82846481,-96.69663915,17.71999931,
2.8030,0.0952,-0.1887,0.9582,0.0045,0.0083,-0.0544,40.82846481,-96.69663915,17.71999931,
2.8320,0.0834,-0.1524,0.9612,0.0045,0.0083,-0.0544,40.82846481,-96.69663915,17.71999931,
2.8520,0.0834,-0.1524,0.9612,-0.0072,0.0100,-0.0522,40.82862089,-96.69650890,20.48999977,
2.8710,0.0834,-0.1524,0.9612,-0.0072,0.0100,-0.0522,40.82862089,-96.69650890,20.48999977,
2.9020,0.0886,-0.1628,0.9651,-0.0072,0.0100,-0.0522,40.82862089,-96.69650890,20.48999977,
2.9200,0.0886,-0.1628,0.9651,-0.0088,0.0105,-0.0529,40.82862089,-96.69650890,20.48999977,
2.9390,0.0886,-0.1628,0.9651,-0.0088,0.0105,-0.0529,40.82862089,-96.69650890,20.48999977,
2.9690,0.0769,-0.1554,0.9759,-0.0088,0.0105,-0.0529,40.82862089,-96.69650890,20.48999977,
2.9870,0.0769,-0.1554,0.9759,-0.0013,0.0116,-0.0530,40.82862089,-96.69650890,20.48999977,
3.0060,0.0769,-0.1554,0.9759,-0.0013,0.0116,-0.0530,40.82862089,-96.69650890,20.48999977,
3.0370,0.0788,-0.1580,0.9766,-0.0013,0.0116,-0.0530,40.82862089,-96.69650890,20.48999977,
3.0530,0.0788,-0.1580,0.9766,0.0165,0.0027,-0.0534,40.82862089,-96.69650890,20.48999977,
3.0730,0.0788,-0.1580,0.9766,0.0165,0.0027,-0.0534,40.82862089,-96.69650890,20.48999977,
3.1020,0.0939,-0.1566,0.9943,0.0165,0.0027,-0.0534,40.82862089,-96.69650890,20.48999977,
3.1240,0.0939,-0.1566,0.9943,0.0191,0.0048,-0.0555,40.82862089,-96.69650890,20.48999977,
3.1400,0.0939,-0.1566,0.9943,0.0191,0.0048,-0.0555,40.82862089,-96.69650890,20.48999977,
3.1690,0.0907,-0.1529,1.0128,0.0191,0.0048,-0.0555,40.82862089,-96.69650890,20.48999977,
3.1890,0.0907,-0.1529,1.0128,-0.0041,-0.0087,-0.0604,40.82862089,-96.69650890,20.48999977,
3.2090,0.0907,-0.1529,1.0128,-0.0041,-0.0087,-0.0604,40.82862089,-96.69650890,20.48999977,
3.2390,0.1044,-0.1618,0.9836,-0.0041,-0.0087,-0.0604,40.82862089,-96.69650890,20.48999977,
3.2570,0.1044,-0.1618,0.9836,-0.0192,-0.0022,-0.0651,40.82862089,-96.69650890,20.48999977,
3.2750,0.1044,-0.1618,0.9836,-0.0192,-0.0022,-0.0651,40.82862089,-96.69650890,20.48999977,
3.3040,0.1256,-0.1658,0.9636,-0.0192,-0.0022,-0.0651,40.82862089,-96.69650890,20.48999977,
3.3210,0.1256,-0.1658,0.9636,-0.0182,0.0091,-0.0707,40.82862089,-96.69650890,20.48999977,
3.3440,0.1256,-0.1658,0.9636,-0.0182,0.0091,-0.0707,40.82862089,-96.69650890,20.48999977,
3.3690,0.1271,-0.1699,0.9449,-0.0182,0.0091,-0.0707,40.82862089,-96.69650890,20.48999977,
3.3910,0.1271,-0.1699,0.9449,-0.0090,0.0020,-0.0731,40.82862089,-96.69650890,20.48999977,
3.4060,0.1271,-0.1699,0.9449,-0.0090,0.0020,-0.0731,40.82862089,-96.69650890,20.48999977,
3.4350,0.1442,-0.1857,0.9581,-0.0090,0.0020,-0.0731,40.82862089,-96.69650890,20.48999977,
3.4530,0.1442,-0.1857,0.9581,-0.0006,0.0041,-0.0792,40.82862089,-96.69650890,20.48999977,
3.4730,0.1442,-0.1857,0.9581,-0.0006,0.0041,-0.0792,40.82862089,-96.69650890,20.48999977,
3.5020,0.1523,-0.1880,0.9841,-0.0006,0.0041,-0.0792,40.82862089,-96.69650890,20.48999977,
3.5210,0.1523,-0.1880,0.9841,0.0054,-0.0015,-0.0894,40.82862089,-96.69650890,20.48999977,
3.5410,0.1523,-0.1880,0.9841,0.0054,-0.0015,-0.0894,40.82862089,-96.69650890,20.48999977,
3.5700,0.1590,-0.1956,0.9976,0.0054,-0.0015,-0.0894,40.82862089,-96.69650890,20.48999977,
3.5860,0.1590,-0.1956,0.9976,0.0061,-0.0071,-0.0972,40.82862089,-96.69650890,20.48999977,
3.6080,0.1590,-0.1956,0.9976,0.0061,-0.0071,-0.0972,40.82862089,-96.69650890,20.48999977,
3.6360,0.1739,-0.1903,0.9803,0.0061,-0.0071,-0.0972,40.82862089,-96.69650890,20.48999977,
3.6550,0.1739,-0.1903,0.9803,-0.0004,0.0076,-0.0991,40.82862089,-96.69650890,20.48999977,
3.6750,0.1739,-0.1903,0.9803,-0.0004,0.0076,-0.0991,40.82862089,-96.69650890,20.48999977,
3.7040,0.1757,-0.1832,0.9680,-0.0004,0.0076,-0.0991,40.82862089,-96.69650890,20.48999977,
3.7220,0.1757,-0.1832,0.9680,-0.0140,0.0041,-0.0958,40.82862089,-96.69650890,20.48999977,
3.7420,0.1757,-0.1832,0.9680,-0.0140,0.0041,-0.0958,40.82862089,-96.69650890,20.48999977,
