
time,gFx,gFy,gFz,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.0550,0.0339,-0.0978,0.9767,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1010,0.0339,-0.0978,0.9767,-0.0297,0.0015,-0.0201,40.82818529,-96.69690887,18.92000008,
0.1020,0.0264,-0.0996,0.9501,-0.0297,0.0015,-0.0201,40.82818529,-96.69690887,18.92000008,
0.1690,0.0264,-0.0996,0.9501,-0.0224,0.0104,-0.0209,40.82818529,-96.69690887,18.92000008,
0.1710,0.0258,-0.1086,0.9392,-0.0224,0.0104,-0.0209,40.82818529,-96.69690887,18.92000008,
0.1890,0.0258,-0.1086,0.9392,-0.0224,0.0104,-0.0209,40.82818529,-96.69690887,18.92000008,
0.2360,0.0220,-0.1030,0.9617,-0.0224,0.0104,-0.0209,40.82818529,-96.69690887,18.92000008,
0.2370,0.0220,-0.1030,0.9617,-0.0138,0.0032,-0.0208,40.82818529,-96.69690887,18.92000008,
0.2550,0.0220,-0.1030,0.9617,-0.0138,0.0032,-0.0208,40.82818529,-96.69690887,18.92000008,
0.3080,0.0220,-0.1030,0.9617,-0.0053,0.0025,-0.0190,40.82818529,-96.69690887,18.92000008,
0.3090,0.0240,-0.1023,0.9736,-0.0053,0.0025,-0.0190,40.82818529,-96.69690887,18.92000008,
0.3250,0.0240,-0.1023,0.9736,-0.0053,0.0025,-0.0190,40.82818529,-96.69690887,18.92000008,
0.3700,0.0240,-0.1023,0.9736,-0.0044,0.0090,-0.0162,40.82818529,-96.69690887,18.92000008,
0.3710,0.0074,-0.0980,0.9409,-0.0044,0.0090,-0.0162,40.82818529,-96.69690887,18.92000008,
0.3910,0.0074,-0.0980,0.9409,-0.0044,0.0090,-0.0162,40.82818529,-96.69690887,18.92000008,
0.4380,0.0071,-0.1029,0.9702,-0.0044,0.0090,-0.0162,40.82833565,-96.69679066,18.48999977,
