
time,gFx,gFy,gFz,wx,wy,wz,Latitude,Longitude,Speed (m/s),
0.1020,-0.0160,0.0540,0.9936,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,
0.1030,-0.0160,0.0540,0.9936,0.0165,-0.0123,-0.0167,40.83640074,-96.68261773,16.32999992,
0.1450,-0.0017,0.0634,1.0141,0.0165,-0.0123,-0.0167,40.83640074,-96.68261773,16.32999992,
0.1650,-0.0017,0.0634,1.0141,0.0027,-0.0179,-0.0155,40.83640074,-96.68261773,16.32999992,
0.1860,-0.0017,0.0634,1.0141,0.0027,-0.0179,-0.0155,40.83640074,-96.68261773,16.32999992,
0.2120,0.0039,0.1175,0.9830,0.0027,-0.0179,-0.0155,40.83640074,-96.68261773,16.32999992,
0.2310,0.0039,0.1175,0.9830,-0.0060,0.0001,-0.0145,40.83640074,-96.68261773,16.32999992,
0.2520,0.0039,0.1175,0.9830,-0.0060,0.0001,-0.0145,40.83640074,-96.68261773,16.32999992,
0.2800,-0.0011,0.0687,0.9647,-0.0060,0.0001,-0.0145,40.83640074,-96.68261773,16.32999992,
0.2990,-0.0011,0.0687,0.9647,-0.0042,-0.0200,-0.0134,40.83640074,-96.68261773,16.32999992,
0.3170,-0.0011,0.0687,0.9647,-0.0042,-0.0200,-0.0134,40.83640074,-96.68261773,16.32999992,
0.3490,-0.0043,0.0326,1.0188,-0.0042,-0.0200,-0.0134,40.83640074,-96.68261773,16.32999992,
0.3850,-0.0043,0.0326,1.0188,-0.0100,-0.0055,-0.0148,40.83640074,-96.68261773,16.32999992,
0.3870,-0.0043,0.0326,1.0188,-0.0100,-0.0055,-0.0148,40.83640074,-96.68261773,16.32999992,
0.4220,-0.0009,0.0352,0.9958,-0.0100,-0.0055,-0.0148,40.83640074,-96.68261773,16.32999992,
0.4360,-0.0009,0.0352,0.9958,0.0089,-0.0001,-0.0136,40.83640074,-96.68261773,16.32999992,
0.4540,-0.0009,0.0352,0.9958,0.0089,-0.0001,-0.0136,40.83640074,-96.68261773,16.32999992,
0.4900,0.0018,0.0435,1.0168,0.0089,-0.0001,-0.0136,40.83640074,-96.68261773,16.32999992,
0.5040,0.0018,0.0435,1.0168,0.0116,-0.0043,-0.0148,40.83640074,-96.68261773,16.32999992,
0.5220,0.0018,0.0435,1.0168,0.0116,-0.0043,-0.0148,40.83640074,-96.68261773,16.32999992,
0.5560,-0.0009,0.0319,1.0136,0.0116,-0.0043,-0.0148,40.83640074,-96.68261773,16.32999992,
