
        AX        AY        AZ         WX        WY        WZ     AngleX    AngleY    AngleZ
      0.05      0.01      0.15       0.00      0.00      0.00       2.67    -18.51     -0.32  
      0.04      0.01      0.15      -0.01      0.00     -0.00       2.57    -18.46     -0.32  
      0.05      0.00      0.15      -0.01     -0.00     -0.00       2.45    -18.49     -0.32  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.51    -18.52     -0.32  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.65    -18.51     -0.32  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.62    -18.48     -0.32  
      0.05      0.00      0.15      -0.01      0.00     -0.00       2.48    -18.47     -0.32  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.46    -18.52     -0.32  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.60    -18.51     -0.32  
      0.05      0.01      0.15       0.00      0.00      0.00       2.66    -18.50     -0.32  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.53    -18.46     -0.32  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.45    -18.51     -0.33  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.54    -18.52     -0.33  
      0.05      0.01      0.15       0.01      0.00      0.00       2.67    -18.51     -0.33  
      0.04      0.01      0.15      -0.00      0.00      0.00       2.59    -18.46     -0.32  
      0.05      0.00      0.15      -0.01     -0.00      0.00       2.46    -18.48     -0.33  
      0.05      0.01      0.15       0.00     -0.00     -0.00       2.49    -18.53     -0.33  
      0.05      0.01      0.15       0.01      0.00      0.00       2.63    -18.51     -0.33  
      0.05      0.01      0.15       0.00      0.00      0.00       2.64    -18.49     -0.32  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.49    -18.47     -0.34  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.47    -18.52     -0.34  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.59    -18.51     -0.34  
      0.05      0.01      0.15       0.00      0.00      0.00       2.66    -18.51     -0.34  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.54    -18.46     -0.34  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.46    -18.51     -0.35  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.54    -18.52     -0.35  
      0.05      0.01      0.15       0.01      0.00      0.00       2.66    -18.51     -0.35  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.59    -18.48     -0.34  
      0.05      0.00      0.15      -0.01     -0.00     -0.00       2.46    -18.48     -0.35  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.49    -18.53     -0.35  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.63    -18.51     -0.35  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.63    -18.50     -0.34  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.49    -18.46     -0.35  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.47    -18.52     -0.35  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.59    -18.52     -0.35  
      0.05      0.01      0.15       0.00      0.00      0.00       2.66    -18.50     -0.35  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.54    -18.47     -0.35  
      0.05      0.00      0.15      -0.00     -0.00     -0.00       2.45    -18.50     -0.36  
      0.05      0.01      0.15       0.00     -0.00     -0.00       2.54    -18.52     -0.36  
      0.05      0.01      0.15       0.01      0.00      0.00       2.66    -18.51     -0.36  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.59    -18.48     -0.35  
      0.05      0.00      0.15      -0.01      0.00     -0.00       2.46    -18.47     -0.36  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.49    -18.53     -0.36  
      0.05      0.01      0.15       0.01      0.00      0.00       2.64    -18.52     -0.36  
      0.05      0.01      0.15       0.00      0.00      0.00       2.64    -18.49     -0.36  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.50    -18.47     -0.36  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.46    -18.52     -0.36  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.58    -18.52     -0.36  
      0.05      0.01      0.15       0.00      0.00      0.00       2.67    -18.51     -0.36  
      0.05      0.01      0.15      -0.01      0.00      0.00       2.55    -18.47     -0.36  
      0.05      0.00      0.15      -0.00     -0.00     -0.00       2.45    -18.50     -0.36  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.52    -18.52     -0.36  
      0.05      0.01      0.15       0.01      0.00      0.00       2.66    -18.52     -0.36  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.60    -18.47     -0.36  
      0.05      0.00      0.15      -0.01     -0.00     -0.00       2.47    -18.47     -0.36  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.47    -18.53     -0.36  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.62    -18.52     -0.36  
      0.05      0.01      0.15       0.00      0.00      0.00       2.65    -18.50     -0.36  
      0.05      0.00      0.15      -0.01      0.00     -0.00       2.50    -18.46     -0.36  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.45    -18.52     -0.36  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.57    -18.52     -0.36  
      0.05      0.01      0.15       0.00      0.00      0.00       2.67    -18.51     -0.36  
      0.05      0.01      0.15      -0.01      0.00     -0.00       2.56    -18.46     -0.36  
      0.05      0.00      0.15      -0.01     -0.00     -0.00       2.45    -18.50     -0.36  
      0.05      0.01      0.15       0.00     -0.00      0.00       2.50    -18.52     -0.36  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.65    -18.51     -0.36  
      0.05      0.01      0.15      -0.00      0.00      0.00       2.62    -18.48     -0.36  
      0.05      0.00      0.15      -0.01      0.00     -0.00       2.48    -18.47     -0.36  
      0.05      0.00      0.15      -0.00     -0.00      0.00       2.47    -18.53     -0.36  
      0.05      0.01      0.15       0.01      0.00     -0.00       2.61    -18.51     -0.36  
      0.05      0.01      0.15       0.00      0.00      0.00       2.66    -18.50     -0.36  
      0.04      0.01      0.15      -0.01      0.00     -0.00       2.53    -18.46     -0.36  
      0.05      0.00      0.15      -0.00     -0.00     -0.00       2.46    -18.51     -0.36  
